ID,Age,Gender,Institution,Color,Academic.Performance,Excellence.education,General.interest,Faster.classes,Easy.memorizing,Enhanced.education,Increased.perception,Improve.Find.Solutions,Improve.Solve.Solutions,Improve.Soundness.Reasoning,Social.Progress.Solution,Relevance.SR.Tool
1,24,Female,IESEN ,Not.defined,5,5,5,5,3,5,5,5,4,5,1,4
2,21,Female,IESEN ,Not.defined,5,5,5,5,5,5,5,4,4,4,5,3
3,21,Female,IESEN ,Not.defined,2,5,2,3,3,5,5,2,2,2,2,4
4,21,Female,IESEN ,Not.defined,4,5,5,5,4,5,5,4,4,4,4,5
5,21,Female,IESEN ,Not.defined,3,4,4,3,4,5,3,4,5,5,5,4
6,26,Female,ITESM,Explorer,3,3,3,3,3,3,3,3,3,3,3,3
7,30,Male,ITESM,Socializer,5,5,5,5,5,5,5,4,4,4,4,4
8,31,Female,ITESM,Achiever,3,3,4,2,3,2,3,3,4,3,3,2
9,35,Male,ITESM,Explorer,3,3,4,3,3,3,4,5,5,5,5,3
10,36,Male,ITESM,Socializer,5,5,5,5,5,5,5,5,5,5,5,4
11,39,Female,ITESM,Socializer,5,3,5,5,3,5,5,3,3,3,3,3
12,28,Female,ITESM,Explorer,4,5,5,4,4,5,5,5,5,3,3,5
13,47,Female,ITESM,Explorer,4,5,5,4,4,5,5,5,5,5,5,4
14,33,Female,ITESM,Explorer,5,5,5,5,5,5,5,5,5,5,5,4
15,40,Male,ITESM,Socializer,5,4,5,5,4,5,5,5,4,5,5,4
16,27,Female,ITESM,Socializer,4,3,5,3,3,5,4,4,4,4,5,4
17,42,Female,ITESM,Socializer,5,5,5,5,5,5,5,5,5,5,5,3
18,36,Male,ITESM,Socializer,5,5,5,5,5,5,5,5,5,5,5,4
19,41,Male,ITESM,Socializer,5,5,5,4,4,4,5,4,4,4,4,3
20,39,Female,ITESM,Achiever,1,1,2,2,2,3,4,4,4,4,4,2
21,40,Male,UAGRM,Achiever,5,5,5,3,5,5,5,5,5,5,5,5
22,45,Female,UAGRM,Killer,5,5,5,5,5,5,5,5,5,5,5,4
23,59,Female,UAGRM,Explorer,3,4,4,4,3,4,5,4,4,4,4,2
24,50,Female,UAGRM,Explorer,5,3,5,3,3,3,5,3,3,3,3,3
25,67,Male,UAGRM,Socializer,3,3,3,3,3,4,3,4,4,4,4,4
26,51,Female,UAGRM,Socializer,4,4,4,4,4,5,5,4,4,4,4,4
27,36,Female,UAGRM,Socializer,2,2,2,3,2,2,2,4,4,3,3,4
28,54,Male,UAGRM,Socializer,3,3,3,3,3,4,3,5,5,4,5,3
29,42,Female,UAGRM,Socializer,5,5,5,5,5,5,5,1,1,1,1,4
30,63,Male,UAGRM,Explorer,4,3,4,3,2,3,4,4,3,3,3,4
31,60,Female,UAGRM,Socializer,4,5,4,4,5,4,5,5,4,4,5,5
32,50,Female,UAGRM,Achiever,5,4,5,5,5,5,4,5,5,5,5,5
33,70,Female,UAGRM,Not.defined,3,4,4,3,3,4,4,4,4,4,4,2
34,50,Female,UAGRM,Achiever,5,5,4,4,4,5,5,4,4,4,5,4
35,43,Female,UAGRM,Socializer,4,5,4,5,3,4,4,5,5,4,5,4
36,70,Female,UAGRM,Not.defined,4,4,3,4,4,4,5,5,5,5,5,4
37,46,Male,UAGRM,Explorer,4,4,4,4,4,4,4,4,4,4,4,4
38,47,Male,UAGRM,Socializer,5,5,5,5,5,4,5,4,4,4,4,4
39,19,Female,UNICAN,Explorer,4,2,4,4,2,4,4,2,2,2,3,3
40,19,Female,UNICAN,Explorer,5,4,5,4,2,3,4,5,4,3,4,3
41,19,Female,UNICAN,Explorer,4,3,3,2,5,5,1,4,5,5,5,3
42,20,Female,UNICAN,Explorer,4,4,2,5,3,5,2,5,5,5,5,1
43,19,Female,UNICAN,Socializer,5,5,5,5,4,5,5,4,4,4,4,4
44,21,Female,UNICAN,Not.defined,5,3,5,4,2,4,5,4,5,5,5,4
45,19,Female,UNICAN,Socializer,4,3,4,5,2,5,4,4,3,4,3,4
46,20,Female,UNICAN,Not.defined,5,5,4,5,4,4,4,4,5,4,4,2
47,20,Non binary,UNICAN,Socializer,5,4,4,1,1,4,5,4,5,4,4,2
48,19,Male,UNICAN,Explorer,4,4,4,3,4,5,5,4,4,5,5,4
49,20,Female,UNICAN,Explorer,1,1,1,1,1,2,1,1,1,1,1,3
50,20,Female,UNICAN,Not.defined,5,5,3,5,4,5,5,5,4,4,4,5
51,20,Female,UNICAN,Socializer,5,4,5,4,4,4,5,4,4,4,4,4
52,21,Female,UNAM,Socializer,4,4,4,4,4,5,4,4,4,4,4,4
53,20,Female,UNAM,Socializer,5,5,5,5,5,5,5,5,2,5,2,5
54,20,Female,UNAM,Socializer,5,5,5,5,4,5,5,4,4,4,5,4
55,19,Female,UNAM,Socializer,5,4,5,4,3,5,5,4,5,4,4,4
56,22,Female,UNAM,Not.defined,1,3,3,3,3,3,3,4,5,5,3,3
57,20,Female,UNAM,Achiever,5,5,5,5,4,5,5,2,2,2,2,4
58,20,Male,UNAM,Socializer,4,4,4,3,4,4,5,4,4,4,5,4
59,20,Female,UNAM,Socializer,3,3,4,4,3,4,4,4,4,4,4,3
60,20,Female,UNAM,Achiever,5,5,5,5,5,4,5,5,5,5,5,3
61,21,Female,UNAM,Explorer,5,5,5,4,5,5,5,4,4,4,4,5
62,20,Female,UNAM,Socializer,5,4,5,5,4,5,5,5,5,5,5,5
63,20,Female,UNAM,Not.defined,4,5,5,5,5,5,5,4,4,4,4,5
64,19,Female,UNAM,Not.defined,4,5,4,4,4,4,5,5,5,5,5,4
65,19,Female,UNAM,Socializer,4,4,3,3,3,5,4,3,4,4,4,4
66,19,Female,UNAM,Socializer,5,5,5,5,5,5,5,5,5,5,5,3
67,20,Female,UNAM,Socializer,4,4,4,4,4,5,4,4,4,4,4,4
68,22,Female,UNAM,Socializer,5,5,5,5,5,5,5,5,5,5,5,4
69,20,Male,UNAM,Socializer,4,5,5,5,4,4,5,4,5,4,5,4
70,21,Female,UNAM,Achiever,2,3,3,4,1,3,4,3,4,5,5,3
71,19,Male,UNAM,Socializer,1,1,1,1,1,1,1,1,1,1,1,1
72,21,Female,UNAM,Socializer,4,4,4,4,4,5,4,4,4,5,4,4
73,20,Male,UNAM,Socializer,5,4,3,3,4,5,4,3,3,3,3,4
74,20,Female,UNAM,Explorer,3,3,3,3,3,3,3,3,3,4,3,3
75,21,Female,UNAM,Not.defined,5,5,5,5,5,5,5,5,5,5,5,5
76,20,Female,UNAM,Socializer,5,5,5,5,5,5,5,4,4,5,5,4
77,22,Female,UNAM,Socializer,4,5,5,5,3,4,5,4,4,4,4,4
78,20,Female,UNAM,Killer,4,3,3,4,4,4,3,3,3,3,3,4
79,20,Female,UNAM,Socializer,1,1,1,1,1,5,1,4,4,4,4,4
80,22,Female,UNAM,Not.defined,3,3,3,2,2,3,3,3,4,2,2,3
81,19,Female,UNAM,Socializer,4,4,4,5,4,5,4,5,4,5,4,3
82,20,Female,UNAM,Achiever,4,3,4,4,4,5,3,4,4,4,5,4
83,20,Female,UNAM,Explorer,5,5,5,5,4,5,5,5,5,5,5,4
84,20,Female,UNAM,Explorer,5,5,5,3,4,5,5,5,5,5,5,5
85,20,Female,UNAM,Socializer,4,3,4,4,4,5,3,3,3,3,3,3
86,21,Female,UNAM,Achiever,4,4,4,4,3,5,4,3,3,3,3,5
87,19,Female,UNAM,Socializer,3,3,3,3,3,3,3,3,3,3,3,2
88,20,Female,UNAM,Socializer,1,1,2,1,3,4,3,4,4,3,3,4
89,19,Female,UNAM,Socializer,5,5,5,5,5,5,5,4,4,4,4,4
90,20,Female,UNAM,Socializer,5,5,4,4,4,5,5,1,1,1,1,4
91,20,Female,UNAM,Socializer,5,5,4,5,5,5,5,4,5,4,5,4
92,20,Female,UNAM,Socializer,2,1,2,3,3,3,1,3,3,3,3,3
93,20,Female,UNAM,Socializer,3,1,2,3,2,5,3,4,4,4,3,4
94,19,Female,UNAM,Socializer,4,4,4,5,5,5,4,4,5,3,4,3
95,21,Male,UNAM,Explorer,4,4,4,4,4,4,3,4,4,4,5,3
96,21,Female,UNAM,Achiever,3,4,5,3,2,3,5,4,4,4,4,2
97,23,Female,UNAM,Achiever,5,5,5,5,5,5,5,5,5,5,5,5
98,20,Female,UNAM,Socializer,3,3,3,1,3,5,3,2,2,2,2,4
99,21,Female,UNAM,Socializer,4,5,5,4,4,5,4,4,4,4,4,4
100,20,Female,UNAM,Explorer,2,4,3,2,2,3,3,5,5,5,5,2
101,20,Female,UNAM,Explorer,5,5,4,5,3,5,4,4,4,4,4,4
102,20,Female,UNAM,Explorer,5,4,5,5,5,4,4,4,4,4,5,3
103,20,Female,UNAM,Socializer,4,4,5,5,4,5,5,1,1,2,1,4
104,19,Female,UNAM,Explorer,3,2,2,1,2,4,4,3,2,2,3,3
105,21,Female,UNAM,Socializer,3,4,4,4,2,4,4,4,4,5,4,4
106,20,Female,URJC,Socializer,4,5,5,4,4,4,5,4,4,4,4,3
